order_count,total_spent,last_month_expenditure,coupon_used,preferred_category,payment_method,location_type,rating_last_purchase,churned
10,17761,0,Yes,Books,Credit Card,Tier 1,1,1
5,10343,308,No,Electronics,Credit Card,Tier 1,2,1
7,2772,941,Yes,Apparel,Credit Card,Tier 2,1,0
4,18647,2352,Yes,Apparel,COD,Tier 2,3,0
7,4939,1686,Yes,Books,Credit Card,Tier 1,3,0
13,24594,9658,No,Groceries,COD,Tier 2,3,0
4,16912,1539,Yes,Electronics,COD,Tier 1,5,1
12,22639,3596,Yes,Books,UPI,Tier 1,5,0
9,20465,0,Yes,Food,Credit Card,Tier 1,5,0
7,4550,1627,No,Books,COD,Tier 1,2,1
6,20580,3042,Yes,Books,UPI,Tier 2,1,0
1,20729,0,No,Apparel,UPI,Tier 2,4,1
1,14144,1866,Yes,Groceries,UPI,Tier 2,3,0
14,9490,381,Yes,Electronics,UPI,Tier 2,5,0
17,1097,190,Yes,Apparel,UPI,Tier 2,5,0
6,22664,3782,No,Apparel,UPI,Tier 2,1,1
7,23495,1983,Yes,Electronics,Credit Card,Tier 2,1,0
16,16609,2041,No,Apparel,UPI,Tier 2,4,0
3,12236,4488,Yes,Books,Credit Card,Tier 3,4,0
14,6756,261,No,Electronics,COD,Tier 3,2,1
14,16011,4070,Yes,Electronics,Wallet,Tier 3,1,1
16,21682,0,Yes,Books,Wallet,Tier 1,4,0
11,900,206,Yes,Electronics,Wallet,Tier 2,4,0
2,12989,0,Yes,Electronics,Wallet,Tier 2,4,0
12,11294,0,No,Groceries,COD,Tier 1,3,1
13,17688,0,No,Books,Wallet,Tier 2,2,1
15,23885,0,Yes,Electronics,COD,Tier 1,5,0
3,9821,3826,No,Groceries,UPI,Tier 1,2,1
11,3741,698,Yes,Electronics,Credit Card,Tier 1,4,0
1,22144,5823,Yes,Apparel,Credit Card,Tier 1,1,1
9,12541,3855,Yes,Apparel,UPI,Tier 1,3,0
6,12086,0,Yes,Groceries,COD,Tier 2,3,0
20,5757,0,Yes,Groceries,Credit Card,Tier 1,1,1
7,21890,3105,Yes,Apparel,Credit Card,Tier 1,2,0
2,9758,0,Yes,Food,Wallet,Tier 1,2,1
1,13077,4278,Yes,Books,COD,Tier 2,5,0
4,17673,5677,Yes,Books,Wallet,Tier 1,1,1
4,12216,0,Yes,Electronics,COD,Tier 2,4,0
13,18115,2105,No,Electronics,COD,Tier 2,2,0
6,10465,3201,Yes,Apparel,Credit Card,Tier 1,3,0
5,5444,0,No,Electronics,Wallet,Tier 3,2,0
11,17270,0,No,Apparel,Credit Card,Tier 2,3,1
12,23458,0,No,Electronics,Credit Card,Tier 3,2,1
19,21364,6994,Yes,Apparel,COD,Tier 2,2,0
7,1466,198,Yes,Groceries,Wallet,Tier 2,2,1
1,23612,0,Yes,Apparel,COD,Tier 2,3,1
8,17440,0,Yes,Electronics,Wallet,Tier 3,1,0
18,17757,3156,Yes,Apparel,COD,Tier 2,3,0
15,19395,0,Yes,Apparel,COD,Tier 1,1,1
7,24262,809,Yes,Food,Wallet,Tier 3,2,1
8,9648,3338,No,Books,Wallet,Tier 1,4,0
11,10941,0,No,Apparel,Wallet,Tier 3,4,0
13,12364,0,Yes,Food,Credit Card,Tier 2,5,0
2,3747,0,Yes,Electronics,Credit Card,Tier 2,3,1
3,19948,5988,No,Apparel,UPI,Tier 3,2,1
15,16642,4917,No,Electronics,COD,Tier 1,2,1
9,5690,0,No,Electronics,COD,Tier 1,4,0
9,16746,3295,No,Apparel,UPI,Tier 2,5,0
19,19631,0,No,Books,COD,Tier 2,2,1
14,19095,0,Yes,Groceries,COD,Tier 2,2,0
4,21425,0,No,Books,COD,Tier 1,4,0
8,15577,2995,Yes,Apparel,UPI,Tier 3,2,0
7,18885,4341,Yes,Books,Credit Card,Tier 2,4,0
20,16202,5281,Yes,Books,Credit Card,Tier 2,1,0
10,10567,1484,Yes,Food,UPI,Tier 2,1,0
16,16516,689,No,Groceries,Wallet,Tier 2,3,0
3,23344,7561,Yes,Food,Credit Card,Tier 2,1,0
13,6958,0,Yes,Food,COD,Tier 2,1,1
16,17852,728,Yes,Books,Credit Card,Tier 1,4,0
3,9673,2106,Yes,Food,COD,Tier 2,3,0
6,10469,994,No,Books,COD,Tier 1,2,0
1,10472,0,Yes,Apparel,Wallet,Tier 3,2,0
12,15355,2427,No,Electronics,COD,Tier 2,3,0
11,7272,0,No,Apparel,COD,Tier 2,4,1
18,3389,730,Yes,Electronics,COD,Tier 2,3,0
4,8112,383,Yes,Electronics,Credit Card,Tier 2,2,0
7,4740,1180,No,Apparel,COD,Tier 3,5,0
8,17982,851,Yes,Apparel,Credit Card,Tier 2,1,1
10,17564,0,Yes,Books,Credit Card,Tier 1,5,0
2,2691,0,Yes,Food,COD,Tier 1,5,1
13,19730,2945,No,Electronics,Credit Card,Tier 1,3,0
2,14041,0,No,Apparel,COD,Tier 1,2,1
9,2524,0,Yes,Groceries,UPI,Tier 1,4,0
10,7586,748,Yes,Groceries,COD,Tier 2,5,0
3,10046,3640,No,Apparel,Credit Card,Tier 2,2,1
14,2965,185,No,Food,Wallet,Tier 1,2,1
18,12722,4406,No,Books,COD,Tier 3,3,0
17,21207,7286,No,Groceries,UPI,Tier 1,5,0
11,9991,0,Yes,Apparel,UPI,Tier 2,3,0
4,19615,3463,Yes,Electronics,Credit Card,Tier 1,4,0
20,5447,1246,Yes,Groceries,UPI,Tier 3,5,0
12,16960,5894,Yes,Electronics,COD,Tier 1,2,0
19,23908,3360,Yes,Books,Credit Card,Tier 2,5,0
13,8237,1848,No,Groceries,Wallet,Tier 1,4,0
1,19844,1505,No,Electronics,UPI,Tier 3,3,1
16,15285,0,No,Apparel,COD,Tier 2,3,0
3,10352,1623,No,Books,Wallet,Tier 1,3,0
11,1060,182,Yes,Apparel,COD,Tier 2,3,1
18,5874,1661,Yes,Electronics,Wallet,Tier 2,1,1
15,22274,0,Yes,Groceries,Wallet,Tier 1,1,0
11,23184,7758,Yes,Groceries,Wallet,Tier 3,1,0
20,532,179,Yes,Apparel,Wallet,Tier 1,2,1
5,20010,0,No,Apparel,UPI,Tier 1,5,1
15,19593,1580,No,Groceries,COD,Tier 2,4,0
9,7222,2397,No,Apparel,Wallet,Tier 2,1,0
11,2148,606,Yes,Groceries,Wallet,Tier 2,5,0
15,19800,0,Yes,Apparel,Wallet,Tier 1,4,0
9,23149,0,No,Electronics,COD,Tier 2,2,0
16,6652,318,No,Electronics,COD,Tier 2,4,0
4,24756,0,Yes,Groceries,COD,Tier 3,3,1
8,16682,588,Yes,Electronics,COD,Tier 2,4,0
4,22758,2914,No,Food,COD,Tier 1,4,0
13,23391,8618,No,Apparel,COD,Tier 3,4,0
20,14216,3774,Yes,Apparel,COD,Tier 3,2,1
3,14163,0,No,Groceries,UPI,Tier 2,1,0
8,13176,0,Yes,Food,Credit Card,Tier 1,3,0
18,23171,2638,No,Electronics,Credit Card,Tier 2,1,0
16,21837,0,No,Apparel,Wallet,Tier 2,5,0
15,16710,1873,Yes,Electronics,UPI,Tier 3,2,0
17,20283,5209,Yes,Apparel,UPI,Tier 1,5,0
1,9015,2364,No,Apparel,UPI,Tier 3,1,1
7,2195,428,Yes,Electronics,UPI,Tier 3,2,1
13,11339,1446,No,Electronics,COD,Tier 2,2,0
9,7695,280,Yes,Books,Credit Card,Tier 1,2,1
18,8098,0,Yes,Books,COD,Tier 2,1,1
12,17857,4519,Yes,Books,Credit Card,Tier 2,4,0
7,3629,801,Yes,Electronics,Wallet,Tier 3,5,0
5,15466,0,Yes,Groceries,COD,Tier 2,3,0
20,12888,4197,No,Groceries,COD,Tier 3,1,0
13,3739,1324,Yes,Apparel,UPI,Tier 1,2,0
1,14339,0,No,Electronics,Wallet,Tier 3,1,1
11,3013,0,Yes,Groceries,Wallet,Tier 1,2,0
7,6538,1966,No,Books,Credit Card,Tier 1,1,0
7,9596,0,Yes,Books,COD,Tier 1,3,0
20,4373,1284,Yes,Apparel,Wallet,Tier 1,5,0
20,22086,0,No,Apparel,COD,Tier 2,5,1
15,23686,4630,No,Books,Credit Card,Tier 1,4,0
20,1365,0,No,Apparel,COD,Tier 1,2,1
19,5692,1464,No,Apparel,COD,Tier 1,3,0
13,11038,1808,Yes,Electronics,COD,Tier 2,3,0
13,9871,1908,No,Electronics,COD,Tier 2,4,0
17,10295,3258,No,Food,Credit Card,Tier 3,5,0
3,3682,0,Yes,Groceries,UPI,Tier 1,1,1
8,3086,654,No,Apparel,Credit Card,Tier 1,5,0
3,20458,0,Yes,Books,UPI,Tier 3,5,1
8,13925,3644,Yes,Books,COD,Tier 3,2,0
17,20124,0,Yes,Apparel,COD,Tier 2,5,0
7,19142,6163,No,Apparel,COD,Tier 3,2,0
16,17179,5446,Yes,Food,UPI,Tier 2,3,0
17,13114,4977,Yes,Books,COD,Tier 2,5,0
13,24653,9599,No,Groceries,UPI,Tier 1,1,0
17,9761,0,Yes,Groceries,COD,Tier 1,3,0
7,12911,0,Yes,Food,Wallet,Tier 1,3,0
3,19817,5381,Yes,Electronics,COD,Tier 3,2,1
16,6330,1799,No,Apparel,Credit Card,Tier 3,5,0
7,3506,295,No,Books,COD,Tier 1,4,1
1,15582,0,Yes,Electronics,COD,Tier 1,3,0
17,4247,1671,Yes,Books,COD,Tier 1,5,0
11,19390,0,Yes,Electronics,UPI,Tier 1,5,0
5,7502,1532,Yes,Food,UPI,Tier 2,2,0
4,2835,82,Yes,Electronics,COD,Tier 1,2,1
13,756,204,No,Food,COD,Tier 2,1,0
1,2332,529,Yes,Apparel,Credit Card,Tier 3,1,1
1,6911,343,Yes,Apparel,UPI,Tier 3,1,0
1,1171,422,Yes,Books,Wallet,Tier 3,3,1
18,22005,5712,Yes,Books,COD,Tier 2,4,0
17,21823,0,No,Electronics,COD,Tier 1,2,1
18,17860,0,No,Books,COD,Tier 3,2,1
16,23166,1048,Yes,Apparel,UPI,Tier 2,5,1
16,13525,5147,No,Apparel,UPI,Tier 1,4,0
15,8273,2501,Yes,Books,Credit Card,Tier 3,5,0
12,23841,5493,Yes,Apparel,Credit Card,Tier 1,3,0
14,16200,0,Yes,Apparel,COD,Tier 3,4,0
11,12899,4325,No,Apparel,Wallet,Tier 2,1,0
3,10588,2930,No,Groceries,COD,Tier 3,3,0
14,10340,0,No,Electronics,Credit Card,Tier 1,5,0
4,4742,1799,Yes,Apparel,COD,Tier 2,2,0
1,3999,1371,No,Food,COD,Tier 3,1,1
9,23488,1413,No,Apparel,UPI,Tier 3,3,0
12,571,0,Yes,Books,Wallet,Tier 3,2,0
17,2522,0,Yes,Apparel,COD,Tier 2,4,0
7,17788,3748,Yes,Groceries,Credit Card,Tier 1,2,1
2,24229,3089,Yes,Electronics,COD,Tier 1,3,0
7,16658,0,Yes,Food,Credit Card,Tier 2,4,0
16,6468,1815,No,Groceries,UPI,Tier 2,1,0
17,11346,0,No,Apparel,COD,Tier 1,5,0
4,6390,554,No,Apparel,Wallet,Tier 2,1,0
4,13098,2831,Yes,Groceries,UPI,Tier 2,3,0
18,9886,0,No,Apparel,UPI,Tier 2,5,0
10,21811,0,No,Apparel,COD,Tier 1,5,0
20,1574,347,No,Apparel,COD,Tier 1,4,0
15,9693,1248,Yes,Food,COD,Tier 1,3,0
12,5108,511,Yes,Food,UPI,Tier 3,5,0
4,21168,6660,Yes,Apparel,Wallet,Tier 2,1,0
1,10915,2530,No,Groceries,Wallet,Tier 1,4,0
11,10450,1945,No,Books,COD,Tier 2,3,0
11,14812,0,No,Apparel,UPI,Tier 1,4,1
20,11824,0,Yes,Electronics,Credit Card,Tier 1,1,1
17,16812,0,Yes,Apparel,COD,Tier 3,4,0
13,16356,5504,No,Groceries,UPI,Tier 2,1,0
5,14521,0,Yes,Groceries,COD,Tier 2,1,1
1,23744,1740,Yes,Groceries,Credit Card,Tier 2,1,1
3,4270,0,Yes,Electronics,Credit Card,Tier 3,2,1
19,1098,126,Yes,Groceries,COD,Tier 2,2,0
5,24171,7900,Yes,Groceries,COD,Tier 3,5,0
18,18515,0,Yes,Apparel,COD,Tier 1,1,1
8,4519,1759,Yes,Books,Wallet,Tier 1,1,0
2,21613,3841,No,Groceries,COD,Tier 1,2,1
8,17411,498,No,Electronics,COD,Tier 1,2,1
20,24093,0,Yes,Apparel,Wallet,Tier 3,2,1
19,14460,5559,No,Food,COD,Tier 3,2,0
3,11220,0,Yes,Electronics,COD,Tier 3,1,1
7,4195,0,No,Food,COD,Tier 1,3,1
11,21396,6130,Yes,Books,COD,Tier 2,4,0
5,22524,0,Yes,Books,COD,Tier 1,1,0
14,20445,7878,Yes,Apparel,Credit Card,Tier 2,1,1
6,2897,174,No,Apparel,COD,Tier 2,2,1
4,15099,1766,No,Electronics,UPI,Tier 2,1,0
13,20983,6883,No,Apparel,COD,Tier 1,3,0
7,20756,0,Yes,Apparel,COD,Tier 3,5,1
8,16403,0,Yes,Apparel,COD,Tier 3,4,0
19,14439,1101,No,Books,COD,Tier 1,2,0
4,7118,1463,Yes,Apparel,UPI,Tier 1,3,0
16,20742,425,No,Electronics,UPI,Tier 1,1,1
12,20972,2189,No,Apparel,COD,Tier 3,5,0
1,4799,0,Yes,Books,COD,Tier 3,5,1
18,5284,0,Yes,Apparel,UPI,Tier 2,3,1
8,886,0,Yes,Apparel,UPI,Tier 2,2,0
8,3909,542,Yes,Food,Credit Card,Tier 1,2,1
7,6642,982,No,Electronics,UPI,Tier 3,3,0
16,20115,2277,Yes,Groceries,Wallet,Tier 1,4,0
12,17540,6760,No,Books,COD,Tier 3,5,1
5,6812,1035,No,Electronics,UPI,Tier 2,2,0
9,21468,1349,Yes,Electronics,COD,Tier 3,3,0
17,19157,6483,Yes,Apparel,UPI,Tier 2,3,0
18,2784,0,Yes,Apparel,COD,Tier 1,3,0
13,12547,0,No,Food,COD,Tier 2,5,0
17,20567,5768,Yes,Books,COD,Tier 1,2,0
11,2368,774,No,Groceries,Wallet,Tier 1,4,0
13,19026,5024,No,Electronics,COD,Tier 1,5,0
9,12025,0,No,Electronics,Credit Card,Tier 1,5,0
16,11032,0,Yes,Food,COD,Tier 1,5,0
15,5217,2060,Yes,Electronics,COD,Tier 2,4,0
1,1784,0,No,Electronics,Wallet,Tier 2,3,1
4,19094,5748,Yes,Books,UPI,Tier 1,2,1
17,13273,3138,No,Books,Wallet,Tier 2,4,0
19,4854,1824,Yes,Groceries,UPI,Tier 1,1,0
13,21069,2540,Yes,Food,UPI,Tier 1,5,1
5,24654,7003,No,Electronics,COD,Tier 1,4,0
4,18385,6242,No,Electronics,Wallet,Tier 1,5,0
14,8509,0,No,Electronics,COD,Tier 1,5,0
6,24269,0,Yes,Electronics,Wallet,Tier 1,5,1
18,13935,307,No,Books,Credit Card,Tier 1,5,1
6,13859,4003,Yes,Electronics,COD,Tier 1,3,0
8,15945,0,Yes,Groceries,UPI,Tier 3,1,1
16,11346,4170,Yes,Books,UPI,Tier 3,3,0
8,6401,0,Yes,Electronics,UPI,Tier 3,4,0
19,19731,3729,Yes,Books,COD,Tier 2,4,0
2,9501,761,No,Electronics,UPI,Tier 1,1,1
6,1840,709,Yes,Electronics,Credit Card,Tier 3,2,1
20,1091,58,No,Electronics,COD,Tier 1,3,1
7,9125,0,No,Electronics,COD,Tier 2,3,0
15,21066,6095,Yes,Groceries,COD,Tier 1,1,0
5,9453,0,Yes,Groceries,UPI,Tier 1,2,0
7,16801,3645,No,Books,COD,Tier 3,2,1
4,2828,365,Yes,Electronics,COD,Tier 2,3,1
13,17652,2121,No,Electronics,Wallet,Tier 1,1,0
3,18215,0,Yes,Books,Credit Card,Tier 2,4,1
12,7626,0,Yes,Food,Wallet,Tier 2,5,1
13,1698,0,No,Electronics,UPI,Tier 3,5,1
18,8735,969,Yes,Books,UPI,Tier 2,1,0
18,21204,3345,Yes,Apparel,COD,Tier 2,3,0
1,9950,1539,Yes,Electronics,COD,Tier 3,1,1
7,9565,3298,Yes,Apparel,UPI,Tier 3,4,0
12,11884,2068,No,Apparel,UPI,Tier 2,4,0
4,18073,4907,Yes,Apparel,COD,Tier 3,3,0
17,18625,2047,Yes,Books,UPI,Tier 2,5,0
2,4523,1147,Yes,Apparel,COD,Tier 1,3,1
18,890,58,No,Books,COD,Tier 3,2,1
15,20015,0,No,Electronics,COD,Tier 3,3,0
10,1891,513,Yes,Books,Credit Card,Tier 3,3,0
16,17629,0,Yes,Electronics,Wallet,Tier 1,4,0
12,7525,0,No,Books,COD,Tier 1,1,0
8,23091,0,No,Food,UPI,Tier 3,1,0
17,13762,3694,No,Food,COD,Tier 3,4,0
20,19833,0,Yes,Apparel,Credit Card,Tier 1,3,0
3,3090,921,Yes,Electronics,Wallet,Tier 1,3,1
5,5475,1827,Yes,Apparel,COD,Tier 3,3,1
20,22176,7596,Yes,Apparel,UPI,Tier 2,5,1
12,22914,4011,Yes,Food,COD,Tier 2,1,0
13,8607,0,No,Food,Credit Card,Tier 3,5,0
15,16323,2888,Yes,Books,Credit Card,Tier 1,3,0
7,23028,7190,No,Books,Credit Card,Tier 2,2,0
11,14567,0,No,Books,Wallet,Tier 1,4,1
20,12650,1506,Yes,Electronics,Credit Card,Tier 1,1,0
15,4251,0,No,Apparel,Credit Card,Tier 3,4,1
13,24939,0,Yes,Food,COD,Tier 3,1,0
13,10768,3852,Yes,Apparel,Credit Card,Tier 1,2,0
9,12196,0,Yes,Groceries,Credit Card,Tier 2,4,1
12,17377,4729,No,Groceries,UPI,Tier 1,2,1
7,5261,219,No,Groceries,Credit Card,Tier 2,3,1
16,4690,362,Yes,Groceries,Wallet,Tier 3,2,1
4,17639,6371,No,Groceries,Wallet,Tier 2,4,0
19,18573,0,Yes,Books,Credit Card,Tier 2,3,0
3,16622,0,Yes,Apparel,COD,Tier 2,5,0
9,796,230,No,Groceries,COD,Tier 2,5,0
8,19399,2770,No,Electronics,COD,Tier 1,5,0
8,18002,1923,Yes,Food,Credit Card,Tier 3,4,0
18,24988,6457,No,Books,Wallet,Tier 1,3,0
18,15047,2036,Yes,Books,COD,Tier 2,3,0
20,1315,72,No,Groceries,COD,Tier 2,3,0
14,21751,3731,Yes,Groceries,Credit Card,Tier 3,4,0
8,11641,2251,Yes,Food,Credit Card,Tier 2,5,0
3,21395,3765,No,Food,Credit Card,Tier 1,4,0
2,8752,2908,No,Apparel,UPI,Tier 2,3,0
18,10982,0,Yes,Apparel,COD,Tier 3,5,1
14,23926,0,Yes,Books,UPI,Tier 3,2,0
7,24708,9340,Yes,Books,COD,Tier 2,2,1
1,14626,0,Yes,Groceries,Wallet,Tier 1,1,1
19,24076,8822,Yes,Apparel,Credit Card,Tier 2,5,0
19,6457,0,No,Apparel,Wallet,Tier 2,5,0
7,3895,0,Yes,Apparel,COD,Tier 1,3,1
9,21557,3162,No,Food,COD,Tier 2,1,0
2,3646,1088,Yes,Apparel,COD,Tier 1,5,0
9,20937,6230,No,Books,Wallet,Tier 2,2,0
17,4527,0,No,Apparel,COD,Tier 1,4,1
4,6438,1914,Yes,Apparel,Credit Card,Tier 3,2,0
13,16743,6545,No,Food,UPI,Tier 2,3,0
3,2343,713,Yes,Apparel,UPI,Tier 1,1,1
12,18305,7005,Yes,Electronics,Credit Card,Tier 2,4,0
19,21292,6432,Yes,Apparel,UPI,Tier 3,5,0
16,13214,0,No,Apparel,COD,Tier 2,4,0
7,6204,0,Yes,Apparel,COD,Tier 1,1,1
11,13850,1768,No,Groceries,Wallet,Tier 3,5,0
4,20262,4772,Yes,Groceries,UPI,Tier 3,5,0
20,13811,0,Yes,Electronics,Credit Card,Tier 1,3,0
9,12880,1667,No,Groceries,COD,Tier 3,2,0
19,6961,198,No,Groceries,COD,Tier 1,3,1
15,9804,0,Yes,Apparel,COD,Tier 2,2,1
8,1134,365,Yes,Food,Credit Card,Tier 1,4,0
2,10647,0,Yes,Books,UPI,Tier 2,3,1
2,24524,4972,No,Groceries,COD,Tier 1,3,0
1,5175,495,No,Apparel,COD,Tier 2,3,0
6,1531,0,Yes,Groceries,UPI,Tier 2,3,0
15,24746,0,No,Electronics,UPI,Tier 2,3,0
10,18175,0,Yes,Groceries,Wallet,Tier 3,1,1
10,16658,2833,Yes,Books,Wallet,Tier 1,5,0
17,15299,3692,Yes,Food,Credit Card,Tier 1,3,0
3,22804,3725,Yes,Groceries,Wallet,Tier 2,5,0
17,18355,3628,No,Books,COD,Tier 3,2,1
7,8491,3068,No,Food,COD,Tier 2,4,0
20,2829,393,No,Food,UPI,Tier 1,4,0
2,3322,0,Yes,Books,COD,Tier 1,1,1
10,8750,0,Yes,Food,COD,Tier 1,3,0
15,23883,7710,Yes,Food,Credit Card,Tier 1,5,0
5,6065,473,No,Apparel,Wallet,Tier 1,1,1
2,19840,5556,No,Books,COD,Tier 2,3,0
5,24498,7852,Yes,Groceries,COD,Tier 2,4,1
18,22423,7775,Yes,Books,Credit Card,Tier 2,1,1
8,18035,0,Yes,Groceries,UPI,Tier 2,3,0
16,14738,373,Yes,Groceries,Credit Card,Tier 2,4,0
16,7994,0,Yes,Electronics,COD,Tier 1,2,0
7,9744,2123,Yes,Apparel,Wallet,Tier 1,2,0
17,3196,282,Yes,Books,UPI,Tier 1,1,0
19,8410,2715,Yes,Food,UPI,Tier 1,5,0
10,8192,1556,Yes,Food,Credit Card,Tier 2,4,0
5,536,182,Yes,Apparel,COD,Tier 1,3,1
2,4380,0,Yes,Electronics,COD,Tier 2,2,1
15,11768,0,Yes,Apparel,COD,Tier 1,4,0
19,10502,3377,Yes,Apparel,Wallet,Tier 1,2,1
13,4397,749,Yes,Electronics,COD,Tier 3,3,1
12,17458,1218,Yes,Books,UPI,Tier 2,1,0
19,10051,2335,No,Apparel,Credit Card,Tier 3,5,0
13,19101,3739,Yes,Apparel,Wallet,Tier 2,3,0
11,17699,1563,No,Apparel,UPI,Tier 1,2,1
16,23586,8287,Yes,Apparel,UPI,Tier 2,2,0
14,13470,2776,No,Food,UPI,Tier 2,1,0
6,19846,0,No,Food,COD,Tier 2,5,0
16,23975,0,No,Electronics,COD,Tier 1,5,0
2,847,271,Yes,Apparel,COD,Tier 3,3,0
20,19922,6027,No,Apparel,UPI,Tier 2,3,0
2,13438,0,Yes,Books,Wallet,Tier 1,3,0
19,19461,0,Yes,Electronics,UPI,Tier 1,3,0
17,21713,5969,Yes,Apparel,Wallet,Tier 3,4,0
12,4774,1486,Yes,Groceries,UPI,Tier 1,3,0
19,22780,0,Yes,Groceries,COD,Tier 1,4,0
16,12466,1751,No,Books,Credit Card,Tier 3,5,0
14,9360,0,No,Books,UPI,Tier 1,5,0
12,4121,621,Yes,Electronics,UPI,Tier 2,4,0
20,16111,0,No,Groceries,UPI,Tier 2,3,1
3,4307,501,Yes,Electronics,COD,Tier 1,2,0
4,17958,370,No,Electronics,UPI,Tier 2,1,0
11,5544,0,No,Electronics,Wallet,Tier 1,4,0
3,7283,1998,Yes,Apparel,COD,Tier 1,3,0
9,15183,1340,Yes,Food,COD,Tier 2,1,1
8,23203,0,No,Books,COD,Tier 1,2,1
17,18290,6746,No,Food,Credit Card,Tier 2,1,0
1,11395,0,No,Groceries,Wallet,Tier 3,5,1
17,6313,2515,No,Apparel,Wallet,Tier 2,5,0
15,7491,422,Yes,Apparel,UPI,Tier 1,4,0
12,24864,7312,Yes,Food,COD,Tier 1,2,0
7,17424,0,Yes,Apparel,Credit Card,Tier 1,5,0
15,17559,5461,Yes,Groceries,Credit Card,Tier 1,5,0
12,2919,1055,Yes,Electronics,UPI,Tier 1,5,1
1,18663,0,Yes,Apparel,COD,Tier 1,5,0
1,16860,3887,Yes,Groceries,COD,Tier 1,2,1
6,1284,473,No,Electronics,Wallet,Tier 2,5,1
19,5246,1476,No,Electronics,UPI,Tier 3,5,0
18,13910,4751,Yes,Apparel,UPI,Tier 3,3,0
5,18362,524,No,Groceries,COD,Tier 1,1,1
8,13836,372,No,Groceries,Credit Card,Tier 1,1,0
5,21410,0,Yes,Electronics,UPI,Tier 2,4,1
2,10815,3574,Yes,Books,COD,Tier 1,3,0
4,24706,4138,No,Electronics,UPI,Tier 3,4,1
13,9054,1603,Yes,Groceries,COD,Tier 2,2,0
15,4829,1513,Yes,Electronics,Wallet,Tier 1,5,0
20,17202,4814,No,Apparel,Wallet,Tier 2,4,0
7,4456,1613,Yes,Groceries,UPI,Tier 2,3,0
16,14364,1853,Yes,Groceries,Wallet,Tier 1,2,0
18,23784,0,Yes,Apparel,COD,Tier 3,5,0
18,16454,0,No,Apparel,COD,Tier 3,4,0
17,10802,0,Yes,Apparel,Wallet,Tier 2,2,1
5,6658,2277,No,Food,COD,Tier 2,3,1
13,10670,0,No,Books,UPI,Tier 1,3,0
9,22377,459,Yes,Books,UPI,Tier 1,5,0
10,11067,1937,No,Food,COD,Tier 1,3,0
10,9351,1357,Yes,Food,Wallet,Tier 2,5,1
19,6203,1913,Yes,Electronics,Wallet,Tier 2,5,0
1,4655,0,No,Groceries,Wallet,Tier 2,1,1
18,3111,1008,Yes,Electronics,COD,Tier 1,1,1
7,21947,6062,No,Books,COD,Tier 3,5,0
13,4577,1058,Yes,Apparel,UPI,Tier 2,3,0
15,16994,2785,No,Apparel,COD,Tier 3,5,0
9,5739,314,Yes,Apparel,Wallet,Tier 2,4,0
11,2406,505,No,Apparel,COD,Tier 1,2,1
4,11213,0,No,Electronics,COD,Tier 2,5,1
19,19206,0,Yes,Apparel,Wallet,Tier 2,4,1
14,13309,0,No,Groceries,Credit Card,Tier 2,5,0
18,2593,0,No,Books,UPI,Tier 2,2,0
4,18218,0,Yes,Apparel,Wallet,Tier 2,2,1
17,15503,5638,No,Books,UPI,Tier 1,5,0
11,1410,396,Yes,Books,Credit Card,Tier 1,3,0
5,5146,0,Yes,Books,Credit Card,Tier 1,4,0
1,19839,0,Yes,Groceries,UPI,Tier 2,4,0
17,15949,3892,Yes,Electronics,UPI,Tier 2,4,0
17,19164,2735,Yes,Apparel,UPI,Tier 2,1,0
12,16024,5579,Yes,Food,UPI,Tier 3,3,0
2,11103,0,No,Apparel,COD,Tier 2,2,1
3,21853,967,Yes,Books,Credit Card,Tier 1,4,0
5,3939,548,Yes,Electronics,Wallet,Tier 3,5,0
12,18644,6269,Yes,Food,UPI,Tier 2,3,0
20,12427,1590,Yes,Books,COD,Tier 1,5,0
10,10483,4103,Yes,Food,COD,Tier 2,1,1
2,15724,0,No,Apparel,UPI,Tier 1,5,1
3,19466,0,No,Groceries,COD,Tier 3,2,1
12,7475,2310,Yes,Apparel,COD,Tier 3,5,0
15,11590,1097,Yes,Books,UPI,Tier 3,1,0
10,14231,4284,No,Electronics,Wallet,Tier 2,5,0
20,9613,448,No,Electronics,UPI,Tier 2,5,0
14,19836,0,Yes,Groceries,COD,Tier 3,5,1
12,21683,1475,No,Electronics,COD,Tier 1,2,0
14,4827,741,Yes,Food,Credit Card,Tier 2,4,0
13,17424,3472,No,Groceries,Wallet,Tier 2,5,0
3,17069,716,No,Books,UPI,Tier 1,2,1
20,6663,480,Yes,Apparel,UPI,Tier 2,2,0
19,7899,0,Yes,Books,COD,Tier 2,2,0
8,10827,0,No,Apparel,Credit Card,Tier 1,5,0
2,7535,1884,Yes,Groceries,COD,Tier 2,3,0
12,17172,0,No,Electronics,Credit Card,Tier 2,4,0
4,12794,1920,Yes,Apparel,Credit Card,Tier 1,5,0
6,2403,690,Yes,Electronics,Credit Card,Tier 1,2,0
13,23225,5613,Yes,Apparel,COD,Tier 1,3,0
6,2865,783,Yes,Apparel,COD,Tier 1,5,0
17,24679,0,Yes,Apparel,UPI,Tier 1,4,0
2,2419,0,Yes,Apparel,COD,Tier 1,5,1
18,4849,180,Yes,Electronics,COD,Tier 3,5,0
13,22186,0,Yes,Apparel,Wallet,Tier 2,4,0
